date,open,high,low,close,volume,daily_return,cumulative_return,normalized_price,compound_mean,compound_std,article_count,pct_positive,pct_negative,pct_neutral,sentiment_ma5,sentiment
2026-06-23,7366.509765625,7424.169921875,7347.60009765625,7365.4599609375,5640530000,-0.014363,-0.010779,-0.4255,0.0382,0.4845,16,43.8,50.0,6.2,0.0382,negative
2026-06-24,7370.8798828125,7428.06005859375,7336.81982421875,7358.22021484375,5994860000,-0.000983,-0.011752,-0.4677,0.1635,0.4537,27,48.1,25.9,25.9,0.1008,positive
2026-06-25,7404.91015625,7419.080078125,7323.5,7357.490234375,5565760000,-9.9e-05,-0.01185,-0.472,0.2065,0.561,22,63.6,18.2,18.2,0.1361,positive
2026-06-26,7312.740234375,7392.9501953125,7294.18017578125,7354.02001953125,9105600000,-0.000472,-0.012316,-0.4922,0.0215,0.5984,15,46.7,46.7,6.7,0.1074,negative
